date_start,date_stop,campaign_name,adset_name,ad_name,cpm,impressions,reach,video_play_actions,video_views_3_Sec,video_p95_watched_actions,video_avg_time_watched_actions,clicks,link_clicks,ctr,outbound_clicks_ctr,view_content,Add_to_cart,initiate_checkout,purchase,cpc,link_click_cost,view_content_cost,add_to_cart_cost,purchase_cost,spend,ROAS,conversion_value,age,gender,frequency
2024-08-06,2024-08-06,AS-SS-Advantage-04-07-24 Campaña,AS-SS-Advantage-04-07-24 Conjunto de anuncios,Vídeo 9 Serum,21.187023,141,104,124,26,5,4,4,1,2.836879,0.70922,1,0,0,0,0.746843,2.98737,2.98737,0,0,2.98737,0,0,25-34,female,1.355769
2024-08-06,2024-08-06,AS-SS-Advantage-04-07-24 Campaña,AS-SS-Advantage-04-07-24 Conjunto de anuncios,Vídeo 9 Serum,25.69167,14,9,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359683,0,0,25-34,male,1.555556
2024-08-06,2024-08-06,AS-SS-Advantage-04-07-24 Campaña,AS-SS-Advantage-04-07-24 Conjunto de anuncios,Vídeo 9 Serum,40.0077,233,187,208,48,13,4,14,6,6.008584,2.575107,4,1,1,0,0.665842,1.553632,2.330449,9.321794,0,9.321794,0,0,35-44,female,1.245989
2024-08-06,2024-08-06,AS-SS-Advantage-04-07-24 Campaña,AS-SS-Advantage-04-07-24 Conjunto de anuncios,Vídeo 9 Serum,46.429717,17,14,14,2,1,3,1,1,5.882353,5.882353,0,0,0,0,0.789305,0.789305,0,0,0,0.789305,0,0,35-44,male,1.214286
2024-08-06,2024-08-06,AS-SS-Advantage-04-07-24 Campaña,AS-SS-Advantage-04-07-24 Conjunto de anuncios,Vídeo 9 Serum,19.98241,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019982,0,0,35-44,unknown,1
2024-08-06,2024-08-06,AS-SS-Advantage-04-07-24 Campaña,AS-SS-Advantage-04-07-24 Conjunto de anuncios,Vídeo 9 Serum,55.679142,103,80,94,25,2,3,2,0,1.941748,0,2,2,2,0,2.867476,0,2.867476,2.867476,0,5.734952,0,0,45-54,female,1.2875
2024-08-06,2024-08-06,AS-SS-Advantage-04-07-24 Campaña,AS-SS-Advantage-04-07-24 Conjunto de anuncios,Vídeo 9 Serum,65.327109,13,11,12,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.849252,0,0,45-54,male,1.181818
2024-08-06,2024-08-06,AS-SS-Advantage-04-07-24 Campaña,AS-SS-Advantage-04-07-24 Conjunto de anuncios,Vídeo 9 Serum,90.97255,19,16,16,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.728478,0,0,55-64,female,1.1875
2024-08-06,2024-08-06,AS-SS-Advantage-04-07-24 Campaña,AS-SS-Advantage-04-07-24 Conjunto de anuncios,Vídeo 9 Serum,29.973615,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029974,0,0,55-64,male,1
2024-08-06,2024-08-06,AS-SS-Advantage-04-07-24 Campaña,AS-SS-Advantage-04-07-24 Conjunto de anuncios,Vídeo 9 Serum,39.96482,6,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239789,0,0,65+,female,1
